710013156	20171119	201711	2017	2017.8740	EGY	EGYPT	EGY								GOV	HEAD OF STATE						GOV			1	030	030	03	1	4.0	4	1	4	-4.30107526881721	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171126081500	http://www.ethiopianreview.com/index/59349
710013157	20171119	201711	2017	2017.8740	EGY	EGYPT	EGY								GOV	HEAD OF STATE						GOV			1	030	030	03	1	4.0	1	1	1	-4.30107526881721	1	Ethiopia	ET	ET		8	38	ET	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171126081500	http://www.ethiopianreview.com/index/59349
710013158	20171119	201711	2017	2017.8740	GOV	METEOROLOGICAL DEPARTMENT						GOV													1	010	010	01	1	0.0	8	1	8	-1.70940170940171	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	0								4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20171126081500	http://www.thehansindia.com/posts/index/Telangana/2017-11-26/Telangana-to-witness-extreme-winters-this-year/341437
710013159	20171119	201711	2017	2017.8740	GOV	HEAD OF STATE						GOV			EGY	EGYPT	EGY								1	030	030	03	1	4.0	4	1	4	-4.30107526881721	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171126081500	http://www.ethiopianreview.com/index/59349
710013160	20171119	201711	2017	2017.8740	GOV	HEAD OF STATE						GOV			EGY	EGYPT	EGY								1	030	030	03	1	4.0	1	1	1	-4.30107526881721	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	1	Ethiopia	ET	ET		8	38	ET	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171126081500	http://www.ethiopianreview.com/index/59349
710013161	20171119	201711	2017	2017.8740	SDNCOP	SUDAN	SDN					COP			CVL	COMMUNITY						CVL			1	173	173	17	4	-5.0	2	1	2	-8.25688073394495	4	Dongola, Ash Shamaliyah, Sudan	SU	SU43	37091	19.1667	30.4833	-18021	4	Dongola, Ash Shamaliyah, Sudan	SU	SU43	37091	19.1667	30.4833	-18021	4	Dongola, Ash Shamaliyah, Sudan	SU	SU43	37091	19.1667	30.4833	-18021	20171126081500	https://www.dabangasudan.org/en/all-news/article/court-orders-83-students-shaved-in-public-in-northern-sudan
710013162	20171125	201711	2017	2017.8904											BRBJUD	BARBADOS	BRB					JUD			1	040	040	04	1	1.0	8	1	8	2.02205882352941	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20171126081500	https://www.barbadosadvocate.com/news/battle-west-competition-go-national
710013163	20171125	201711	2017	2017.8904											HLH	NURSE						HLH			1	043	043	04	1	2.8	5	1	5	-1.30548302872063	0								1	Puerto Rico	RQ	RQ		18.2359	-66.4838	RQ	2	Puerto Rico, United States	US	USPR		18.2766	-66.335	PR	20171126081500	http://www.bostonherald.com/news/local_coverage/2017/11/mass_general_sends_26_medical_pros_to_help_puerto_rico_hurricane_victims
710013164	20171125	201711	2017	2017.8904	BHR	BAHRAIN	BHR								BUS	COMPANY						BUS			0	051	051	05	1	3.4	20	1	20	4.12065905874339	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	20171126081500	http://www.newsofbahrain.com/viewNews.php?ppId=39850&TYPE=Posts&pid=21&MNU=18&SUB=50
710013165	20171125	201711	2017	2017.8904	BHR	BAHRAIN	BHR								BUS	COMPANY						BUS			0	070	070	07	2	7.0	20	1	20	4.12065905874339	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	20171126081500	http://www.newsofbahrain.com/viewNews.php?ppId=39850&TYPE=Posts&pid=21&MNU=18&SUB=50
